,ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
40930,SAVB,medium_airport,El Bolson Airport,1141.0,SA,AR,AR-R,El Bolson,SAVB,EHL,BOL,"-41.9431991577, -71.5323028564"
40931,SAVC,medium_airport,General E. Mosconi Airport,189.0,SA,AR,AR-U,Comodoro Rivadavia,SAVC,CRD,CRV,"-45.7853, -67.4655"
40932,SAVD,small_airport,El Maiten Airport,2355.0,SA,AR,AR-U,El Maiten,SAVD,EMX,EMA,"-42.0292015076, -71.17250061040001"
40933,SAVE,medium_airport,Brigadier Antonio Parodi Airport,2621.0,SA,AR,AR-U,Esquel,SAVE,EQS,ESQ,"-42.908000946, -71.139503479"
40934,SAVH,medium_airport,Las Heras Airport,1082.0,SA,AR,AR-Z,Las Heras,SAVH,LHS,CLH,"-46.53829956049999, -68.9653015137"
40935,SAVJ,small_airport,Cabo F.A.A. H. R. Bordón Airport,2925.0,SA,AR,AR-R,Ingeniero Jacobacci,SAVJ,IGB,IJC,"-41.320899963399995, -69.5748977661"
40937,SAVN,small_airport,Antoine de Saint Exupéry Airport,85.0,SA,AR,AR-R,San Antonio Oeste,SAVN,OES,SAN,"-40.7512, -65.0343"
40940,SAVQ,small_airport,Maquinchao Airport,2912.0,SA,AR,AR-R,Maquinchao,SAVQ,MQD,MAQ,"-41.2430992126, -68.7078018188"
40941,SAVR,small_airport,D. Casimiro Szlapelis Airport,2286.0,SA,AR,AR-U,Alto Rio Senguerr,SAVR,ARR,ARS,"-45.013599, -70.812202"
40942,SAVS,small_airport,Sierra Grande Airport,688.0,SA,AR,AR-R,Sierra Grande,SAVS,SGV,SGR,"-41.5917015076, -65.33940124509999"
40943,SAVT,medium_airport,Almirante Marco Andres Zar Airport,141.0,SA,AR,AR-U,Rawson,SAVT,REL,TRE,"-43.2105, -65.2703"
40944,SAVV,medium_airport,Gobernador Castello Airport,20.0,SA,AR,AR-R,Viedma / Carmen de Patagones,SAVV,VDM,VIE,"-40.8692, -63.0004"
40945,SAVY,medium_airport,El Tehuelche Airport,427.0,SA,AR,AR-U,Puerto Madryn,SAVY,PMY,DRY,"-42.7592, -65.1027"
40948,SAWC,medium_airport,El Calafate Airport,669.0,SA,AR,AR-Z,El Calafate,SAWC,FTE,ECA,"-50.2803, -72.053101"
40949,SAWD,medium_airport,Puerto Deseado Airport,268.0,SA,AR,AR-Z,Puerto Deseado,SAWD,PUD,ADO,"-47.7353, -65.9041"
40950,SAWE,medium_airport,Hermes Quijada International Airport,65.0,SA,AR,AR-V,Rio Grande,SAWE,RGA,GRA,"-53.7777, -67.7494"
40951,SAWG,medium_airport,Piloto Civil N. Fernández Airport,61.0,SA,AR,AR-Z,Rio Gallegos,SAWG,RGL,GAL,"-51.6089, -69.3126"
40952,SAWH,medium_airport,Malvinas Argentinas Airport,102.0,SA,AR,AR-V,Ushuahia,SAWH,USH,USU,"-54.8433, -68.2958"
40953,SAWJ,medium_airport,Capitan D Daniel Vazquez Airport,203.0,SA,AR,AR-Z,San Julian,SAWJ,ULA,SJU,"-49.3068, -67.8026"
40955,SAWM,small_airport,Rio Mayo Airport,1784.0,SA,AR,AR-U,Rio Mayo,SAWM,ROY,RMY,"-45.703899383499994, -70.2455978394"
40957,SAWP,medium_airport,Perito Moreno Airport,1410.0,SA,AR,AR-Z,Perito Moreno,SAWP,PMQ,PTM,"-46.537899, -70.978699"
40958,SAWR,small_airport,Gobernador Gregores Airport,356.0,SA,AR,AR-Z,Gobernador Gregores,SAWR,GGS,GRE,"-48.7831, -70.150002"
40959,SAWS,small_airport,Jose De San Martin Airport,2407.0,SA,AR,AR-U,Chubut,SAWS,JSM,JSM,"-44.048599243199995, -70.4589004517"
40960,SAWT,small_airport,28 de Noviembre Airport,909.0,SA,AR,AR-Z,Rio Turbio,SAWT,RYO,BIO,"-51.605, -72.2203"
40961,SAWU,medium_airport,Santa Cruz Airport,364.0,SA,AR,AR-Z,Santa Cruz,SAWU,RZA,SCZ,"-50.0165, -68.5792"
40969,SAZB,medium_airport,Comandante Espora Airport,246.0,SA,AR,AR-B,Bahia Blanca,SAZB,BHI,BCA,"-38.725, -62.1693"
40970,SAZC,small_airport,Brigadier D.H.E. Ruiz Airport,767.0,SA,AR,AR-B,Coronel Suarez,SAZC,CSZ,SUZ,"-37.446098, -61.889301"
40973,SAZF,small_airport,Olavarria Airport,551.0,SA,AR,AR-B,Olavarria,SAZF,OVR,OLA,"-36.8899993896, -60.216598510699995"
40974,SAZG,medium_airport,General Pico Airport,459.0,SA,AR,AR-L,General Pico,SAZG,GPO,GPI,"-35.6962013245, -63.7583007812"
40975,SAZH,medium_airport,Tres Arroyos Airport,400.0,SA,AR,AR-B,Tres Arroyos,SAZH,OYO,YOS,"-38.3869, -60.3297"
40979,SAZL,medium_airport,Santa Teresita Airport,9.0,SA,AR,AR-B,Santa Teresita,SAZL,SST,STR,"-36.5423, -56.7218"
40980,SAZM,medium_airport,Ástor Piazzola International Airport,72.0,SA,AR,AR-B,Mar del Plata,SAZM,MDQ,MDP,"-37.9342, -57.5733"
40981,SAZN,medium_airport,Presidente Peron Airport,895.0,SA,AR,AR-Q,Neuquen,SAZN,NQN,NEU,"-38.949001, -68.155701"
40982,SAZO,medium_airport,Necochea Airport,72.0,SA,AR,AR-B,Necochea,SAZO,NEC,NEC,"-38.4831, -58.8172"
40983,SAZP,medium_airport,Comodoro Pedro Zanni Airport,278.0,SA,AR,AR-B,Pehuajó,SAZP,PEH,PEH,"-35.8446, -61.8576"
40985,SAZR,medium_airport,Santa Rosa Airport,630.0,SA,AR,AR-L,Santa Rosa,SAZR,RSA,OSA,"-36.588299, -64.275703"
40986,SAZS,medium_airport,San Carlos De Bariloche Airport,2774.0,SA,AR,AR-R,San Carlos de Bariloche,SAZS,BRC,BAR,"-41.151199, -71.157501"
40987,SAZT,medium_airport,Héroes De Malvinas Airport,574.0,SA,AR,AR-B,Tandil,SAZT,TDL,DIL,"-37.2374000549, -59.2279014587"
